Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre,IMDb Rating,Rotten Tomato Score,MPPA Rating,Director(s)
1964,37,Best Picture,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,"Stanley Kubrick, Producer",9440272,1800000,95,8.1,2333,10.25,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",8.4,98,PG,Stanley Kubrick
1964,37,Best Picture,0,Mary Poppins ,"Walt Disney and Bill Walsh, Producers",102272727,6000000,139,7.5,2024,11.267,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",7.8,96,G,Robert Stevenson
1964,37,Best Picture,1,My Fair Lady ,"Jack L. Warner, Producer",72070731,17000000,170,7.7,540,6.753,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.8,95,G,George Cukor
1964,37,Best Picture,0,Zorba the Greek ,"Michael Cacoyannis, Producer",23500000,783000,142,7.4,104,8.833,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",7.6,92,Approved,Michael Cacoyannis
1965,38,Best Picture,0,Darling ,"Joseph Janni, Producer",4500000,1100000,128,6.7,41,5.397,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7,67,Approved,John Schlesigner
1965,38,Best Picture,0,Doctor Zhivago ,"Carlo Ponti, Producer",111858363,11000000,200,7.6,402,7.268,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",8,82,PG-13,David Lean
1965,38,Best Picture,0,Ship of Fools ,"Stanley Kramer, Producer",3500000,0,149,6.2,24,2.262,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",7.1,83,Approved,Stanley Kramer
1965,38,Best Picture,1,The Sound of Music ,"Robert Wise, Producer",286214286,8200000,174,7.6,1452,15.289,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",8.1,83,G,Robert Wise
1965,38,Best Picture,0,A Thousand Clowns ,"Fred Coe, Producer",2400000,1000000,118,7.4,11,0.6,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.3,100,Approved,Fred Coe
1966,39,Best Picture,0,Alfie ,"Lewis Gilbert, Producer",18900000,500000,114,6.7,90,5.519,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7,77,Approved,Lewis Gilbert
1966,39,Best Picture,1,A Man for All Seasons ,"Fred Zinnemann, Producer",28350000,3900000,120,7.6,135,5.853,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.7,89,G,Fred Zinnemann
1966,39,Best Picture,0,The Russians Are Coming The Russians Are Coming ,"Norman Jewison, Producer",21700000,3900000,126,6.3,38,2.511,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",7,86,Approved,Norman Jewison
1966,39,Best Picture,0,The Sand Pebbles ,"Robert Wise, Producer",20000000,12000000,182,7.3,95,6.16,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",7.5,86,Approved,Robert Wise
1966,39,Best Picture,0,Who's Afraid of Virginia Woolf? ,"Ernest Lehman, Producer",33736689,7500000,131,8,298,5.968,"[{'id': 18, 'name': 'Drama'}]",8,97,Approved,Mike Nichols
1967,40,Best Picture,0,Bonnie and Clyde ,"Warren Beatty, Producer",50700000,2500000,111,7.6,574,7.693,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",7.7,89,R,Arthur Penn
1967,40,Best Picture,0,Doctor Dolittle ,"Arthur P. Jacobs, Producer",9000000,18000000,152,6,63,4.737,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",6.1,29,G,Richard Fleischer
1967,40,Best Picture,0,The Graduate ,"Lawrence Turman, Producer",104945305,3000000,106,7.7,1309,14.266,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",8,87,PG,Mike Nichols
1967,40,Best Picture,0,Guess Who's Coming to Dinner ,"Stanley Kramer, Producer",56666667,4000000,108,7.7,276,6.465,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.8,81,Approved,Stanley Kramer
1967,40,Best Picture,1,In the Heat of the Night ,"Walter Mirisch, Producer",27379978,2000000,109,7.7,337,6.858,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.9,95,Approved,Norman Jewison
1968,41,Best Picture,0,Funny Girl ,"Ray Stark, Producer",52223306,14000000,149,7.1,136,6.201,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.4,94,G,William Wyler
1968,41,Best Picture,0,The Lion in Winter ,"Martin Poll, Producer",22300000,4000000,134,7.6,122,6.796,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.9,90,PG,Anthony Harvey
1968,41,Best Picture,1,Oliver! ,"John Woolf, Producer",37402877,10000000,153,7.1,157,6.398,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",7.4,91,G,Carol Reed
1968,41,Best Picture,0,"Rachel, Rachel ","Paul Newman, Producer",3000000,780000,101,6.6,20,1.067,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.1,85,Approved,Paul Newman
1968,41,Best Picture,0,Romeo and Juliet ,"Anthony Havelock-Allan and John Brabourne, Producers",38901218,850000,138,7.4,240,11.005,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.6,95,PG,Franco Zeffirelli
1969,42,Best Picture,0,Anne of the Thousand Days ,"Hal B. Wallis, Producer",20000000,4500000,145,7.1,42,3.716,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",7.4,43,PG,Charles Jarrott
1969,42,Best Picture,0,Butch Cassidy and the Sundance Kid ,"John Foreman, Producer",102308889,6000000,111,7.6,907,10.261,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]",8,90,PG,George Roy Hill
1969,42,Best Picture,0,"Hello, Dolly! ","Ernest Lehman, Producer",33208099,24000000,146,7,90,5.6,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",7.1,44,G,Gene Kelly
1969,42,Best Picture,1,Midnight Cowboy ,"Jerome Hellman, Producer",44785053,3600000,113,7.6,475,11.285,"[{'id': 18, 'name': 'Drama'}]",7.8,89,X,John Schlesigner
1969,42,Best Picture,0,Z ,"Jacques Perrin and Hamed Rachedi, Producers",83305,0,127,8.1,144,8.359,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",8.2,98,PG,Costa-Gavras
1970,43,Best Picture,0,Airport ,"Ross Hunter, Producer",100489151,10000000,137,6.4,136,5.309,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.6,75,G,George Seaton
1970,43,Best Picture,0,Five Easy Pieces ,"Bob Rafelson and Richard Wechsler, Producers",18100000,1600000,98,7.3,176,5.169,"[{'id': 18, 'name': 'Drama'}]",7.4,89,R,Bob Rafelson
1970,43,Best Picture,0,Love Story ,"Howard G. Minsky, Producer",136400000,2200000,99,6.6,213,6.134,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.9,68,PG,Arthur Hiller
1970,43,Best Picture,1,MASH,"Ingo Preminger, Producer",81600000,3500000,116,7,351,7.591,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",7.4,84,R,Robert Altman
1970,43,Best Picture,1,Patton ,"Frank McCarthy, Producer",89800000,12000000,172,7.4,459,8.536,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",7.9,91,PG,Franklin J. Schaffner
1971,44,Best Picture,0,A Clockwork Orange ,"Stanley Kubrick, Producer",26589000,2200000,136,8.2,5663,13.059,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",7.7,98,R,William Friedkin
1971,44,Best Picture,0,Fiddler on the Roof ,"Norman Jewison, Producer",83304330,9000000,181,7.8,187,9.112,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8,83,G,Norman Jewison
1971,44,Best Picture,1,The French Connection ,"Philip D'Antoni, Producer",41158757,1800000,104,7.5,651,8.908,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",7.7,98,R,William Friedkin
1971,44,Best Picture,0,The Last Picture Show ,"Stephen J. Friedman, Producer",29133000,1300000,119,7.8,212,6.064,"[{'id': 18, 'name': 'Drama'}]",8,100,R,Peter Bogdanovich
1971,44,Best Picture,0,Nicholas and Alexandra ,"Sam Spiegel, Producer",7000000,9000000,189,7.3,23,3.912,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",7.2,69,PG,Franklin J. Schaffner
1972,45,Best Picture,0,Cabaret ,"Cy Feuer, Producer",42800000,6000000,124,7.5,336,7.028,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",7.8,93,PG,Bob Fosse
1972,45,Best Picture,0,Deliverance ,"John Boorman, Producer",46122355,2000000,109,7.3,636,7.596,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",7.7,89,R,John Boorman
1972,45,Best Picture,0,The Emigrants ,"Bengt Forslund, Producer",0,1600000,191,7,36,5.317,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",8,100,PG,Jan Troell
1972,45,Best Picture,1,The Godfather ,"Albert S. Ruddy, Producer",245066411,6000000,175,8.6,8764,28.931,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",9.2,97,R,Francis Ford Coppola
1972,45,Best Picture,0,Sounder ,"Robert B. Radnitz, Producer",16900000,1900000,105,7.3,13,1.4,"[{'id': 18, 'name': 'Drama'}]",7.5,91,G,Martin Ritt
1973,46,Best Picture,0,American Graffiti ,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer",140000000,777000,110,7.1,537,9.031,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.4,96,PG,George Lucas
1973,46,Best Picture,0,Cries and Whispers ,"Ingmar Bergman, Producer",2500000,927262,107,8.2,640,10.652,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8,95,R,Ingmar Bergman
1973,46,Best Picture,0,The Exorcist ,"William Peter Blatty, Producer",441306145,8000000,122,7.6,3309,22.477,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",8.1,78,R,William Friedkin
1973,46,Best Picture,1,The Sting ,"Tony Bill, Michael Phillips and Julia Phillips, Producers",159616327,5500000,129,8,970,13.329,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",8.3,93,PG,George Roy Hill
1973,46,Best Picture,0,A Touch of Class ,"Melvin Frank, Producer",16800000,1000000,106,6.4,19,1.584,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.6,89,PG,Melvin Frank
1974,47,Best Picture,0,Chinatown ,"Robert Evans, Producer",30000000,6000000,130,7.9,1474,8.293,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8.2,98,R,Roman Polanski
1974,47,Best Picture,0,The Conversation ,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer",4420000,1600000,113,7.6,544,7.58,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",7.7,98,PG,Francis Ford Coppola
1974,47,Best Picture,1,The Godfather Part II ,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",102600000,13000000,200,8.5,5094,20.282,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",9,96,R,Francis Ford Coppola
1974,47,Best Picture,0,Lenny ,"Marvin Worth, Producer",11600000,2700000,111,7.4,70,4.771,"[{'id': 18, 'name': 'Drama'}]",7.6,91,R,Bob Fosse
1974,47,Best Picture,0,The Towering Inferno ,"Irwin Allen, Producer",116000000,14000000,159,7.1,344,7.935,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.9,70,PG,John Guillermin
1975,48,Best Picture,0,Barry Lyndon ,"Stanley Kubrick, Producer",20000000,11000000,184,7.9,936,8.646,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",8.1,92,PG,Stanley Kubrick
1975,48,Best Picture,0,Dog Day Afternoon ,"Martin Bregman and Martin Elfand, Producers",46665856,1800000,125,7.8,1055,10.356,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",8,96,R,Sidney Lumet
1975,48,Best Picture,0,Jaws ,"Richard D. Zanuck and David Brown, Producers",470700000,7000000,124,7.6,4198,16.425,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",8.1,97,PG,Steven Spielberg
1975,48,Best Picture,0,Nashville ,"Robert Altman, Producer",10000000,2200000,160,7.4,127,7.269,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",7.6,90,R,Robert Altman
1975,48,Best Picture,1,One Flew over the Cuckoo's Nest ,"Saul Zaentz and Michael Douglas, Producers",108981275,3000000,133,8.4,4739,22.294,"[{'id': 18, 'name': 'Drama'}]",8.7,93,R,Milos Forman
1976,49,Best Picture,0,All the President's Men ,"Walter Coblenz, Producer",70600000,8500000,138,7.7,643,21.183,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.9,94,PG,Alan J. Pakula
1976,49,Best Picture,0,Bound for Glory ,"Robert F. Blumofe and Harold Leventhal, Producers",0,7000000,147,7.3,24,3.951,"[{'id': 10402, 'name': 'Music'}]",7.3,83,PG,Hal Ashby
1976,49,Best Picture,0,Network ,"Howard Gottfried, Producer",23689877,3800000,122,8,604,8.417,"[{'id': 18, 'name': 'Drama'}]",8.1,93,R,Sidney Lumet
1976,49,Best Picture,1,Rocky ,"Irwin Winkler and Robert Chartoff, Producers",117235147,1000000,119,7.6,3080,26.239,"[{'id': 18, 'name': 'Drama'}]",8.1,92,PG,John G. Avildsen
1976,49,Best Picture,0,Taxi Driver ,"Michael Phillips and Julia Phillips, Producers",28262574,1300000,114,8.1,4379,18.243,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",8.2,96,R,Martin Scorsese
1977,50,Best Picture,1,Annie Hall ,"Charles H. Joffe, Producer",38251425,4000000,93,7.8,1675,9.136,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8,97,PG,Woody Allen
1977,50,Best Picture,0,The Goodbye Girl ,"Ray Stark, Producer",102000000,0,111,7.1,51,3.972,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",7.4,83,PG,Herbert Ross
1977,50,Best Picture,0,Julia ,"Richard Roth, Producer",20700000,7840000,117,6.9,43,4.834,"[{'id': 18, 'name': 'Drama'}]",7.2,77,PG,Fred Zinnemann
1977,50,Best Picture,0,Star Wars ,"Gary Kurtz, Producer",775398007,11000000,121,8.2,10129,34.509,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",8.6,93,PG,George Lucas
1977,50,Best Picture,0,The Turning Point ,"Herbert Ross and Arthur Laurents, Producers",33600000,0,119,6.4,21,1.816,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.8,64,PG,Herbert Ross
1978,51,Best Picture,0,Coming Home ,"Jerome Hellman, Producer",32700000,3000000,127,7.2,62,4.435,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",7.4,83,R,Hal Ashby
1978,51,Best Picture,1,The Deer Hunter ,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",50000000,15000000,183,8,1495,9.268,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",8.1,86,R,Michael Cimino
1978,51,Best Picture,0,Heaven Can Wait ,"Warren Beatty, Producer",98800000,6000000,101,6.5,133,6.336,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",6.9,88,PG,"Warren Beatty, Buck Henry"
1978,51,Best Picture,0,Midnight Express ,"Alan Marshall and David Puttnam, Producers",35000000,2300000,121,7.7,528,7.315,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.5,88,R,Alan Parker
1978,51,Best Picture,0,An Unmarried Woman ,"Paul Mazursky and Tony Ray, Producers",24000000,2515000,124,6.7,21,1.365,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",7.2,90,R,Paul Mazursky
1979,52,Best Picture,0,All That Jazz ,"Robert Alan Aurthur, Producer",37823676,12000000,123,7.3,133,7.024,"[{'id': 18, 'name': 'Drama'}]",7.8,87,R,Bob Fosse
1979,52,Best Picture,0,Apocalypse Now ,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",89460381,31500000,147,8.2,3341,21.533,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",8.4,98,R,Francis Ford Coppola
1979,52,Best Picture,0,Breaking Away ,"Peter Yates, Producer",20000000,2300000,100,7.4,97,5.693,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",7.7,95,PG,Peter Yates
1979,52,Best Picture,1,Kramer vs. Kramer ,"Stanley R. Jaffe, Producer",106260000,8000000,105,7.5,807,8.914,"[{'id': 18, 'name': 'Drama'}]",7.8,89,PG,Robert Benton
1979,52,Best Picture,0,Norma Rae ,"Tamara Asseyev and Alex Rose, Producers",22228000,4500000,110,7.2,51,4.116,"[{'id': 18, 'name': 'Drama'}]",7.3,93,PG,Martin Ritt
1980,53,Best Picture,0,Coal Miner's Daughter ,"Bernard Schwartz, Producer",67182787,15000000,125,7.1,97,6.905,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",7.3,86,PG,Michael Apted
1980,53,Best Picture,0,The Elephant Man ,"Jonathan Sanger, Producer",26010864,5000000,124,8,1235,7.456,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",8.2,92,PG,David Lynch
1980,53,Best Picture,1,Ordinary People ,"Ronald L. Schwary, Producer",90000000,6000000,124,7.5,208,7.467,"[{'id': 18, 'name': 'Drama'}]",7.7,89,R,Robert Redford
1980,53,Best Picture,0,Raging Bull ,"Irwin Winkler and Robert Chartoff, Producers",23000000,18000000,129,7.9,1560,10.646,"[{'id': 18, 'name': 'Drama'}]",8.1,92,R,Martin Scorsese
1980,53,Best Picture,0,Tess ,"Claude Berri, Producer; Timothy Burrill, Co-Producer",20100000,12000000,171,6.8,107,9.59,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.3,83,PG,Roman Polanski
1981,54,Best Picture,0,Atlantic City ,"Denis Heroux and John Kemeny, Producers",12729675,7200000,104,6.9,75,4.656,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.3,100,R,Louis Malle
1981,54,Best Picture,1,Chariots of Fire ,"David Puttnam, Producer",58972904,5500000,123,6.9,319,7.401,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.1,82,PG,Hugh Hudson
1981,54,Best Picture,0,On Golden Pond ,"Bruce Gilbert, Producer",19255967,7500000,109,7.5,158,6.919,"[{'id': 18, 'name': 'Drama'}]",7.6,93,PG,Mark Rydell
1981,54,Best Picture,0,Raiders of the Lost Ark ,"Frank Marshall, Producer",389925971,18000000,115,7.8,5762,25.906,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",8.4,95,PG,Steven Spielberg
1981,54,Best Picture,0,Reds ,"Warren Beatty, Producer",40382659,32000000,195,7.2,110,6.332,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.3,90,PG,Warren Beatty
1982,55,Best Picture,0,E.T. The Extra-Terrestrial ,"Steven Spielberg and Kathleen Kennedy, Producers",792965326,10500000,115,7.4,5477,16.032,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",7.9,99,PG,Steven Spielberg
1982,55,Best Picture,1,Gandhi ,"Richard Attenborough, Producer",77737889,22000000,191,7.5,1040,9.015,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",8,89,PG,Richard Attenborough
1982,55,Best Picture,0,Missing ,"Edward Lewis and Mildred Lewis, Producers",14000000,9500000,122,7.4,117,6.789,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.7,94,PG,Costa-Gavras
1982,55,Best Picture,0,Tootsie ,"Sydney Pollack and Dick Richards, Producers",177200000,21000000,116,7.1,678,8.191,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",7.4,90,PG,Sydney Pollack
1982,55,Best Picture,0,The Verdict ,"Richard D. Zanuck and David Brown, Producers",53977250,16000000,129,7.5,198,7.129,"[{'id': 18, 'name': 'Drama'}]",7.7,89,R,Sidney Lumet
1983,56,Best Picture,0,The Big Chill ,"Michael Shamberg, Producer",56400000,8000000,105,7.1,199,7.006,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.1,69,R,Lawrence Kasdan
1983,56,Best Picture,0,The Dresser ,"Peter Yates, Producer",5300000,1900000,118,6.6,20,1.237,"[{'id': 18, 'name': 'Drama'}]",7.6,92,PG,Peter Yates
1983,56,Best Picture,0,The Right Stuff ,"Irwin Winkler and Robert Chartoff, Producers",21500000,27000000,193,7.5,336,7.729,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.8,96,PG,Philip Kaufman
1983,56,Best Picture,0,Tender Mercies ,"Philip S. Hobel, Producer",8400000,7200000,92,6.7,32,3.53,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",7.4,81,PG,Bruce Beresford
1983,56,Best Picture,1,Terms of Endearment ,"James L. Brooks, Producer",165000000,8000000,132,7.2,286,9.508,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.4,82,PG,James L. Brooks
1984,57,Best Picture,1,Amadeus ,"Saul Zaentz, Producer",51973029,18000000,160,8,1769,10.185,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",8.4,89,PG,Milos Forman
1984,57,Best Picture,0,The Killing Fields ,"David Puttnam, Producer",34700291,14400000,141,7.6,251,6.95,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",7.8,93,R,Roland Joffe
1984,57,Best Picture,0,A Passage to India ,"John Brabourne and Richard Goodwin, Producers",27187653,8000000,163,6.9,104,5.437,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]",7.3,77,PG,David Lean
1984,57,Best Picture,0,Places in the Heart ,"Arlene Donovan, Producer",34900000,9500000,111,7.3,45,4.356,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",7.3,89,PG,Robert Benton
1984,57,Best Picture,0,A Soldier's Story ,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",21821347,6000000,101,6.7,68,3.452,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10752, 'name': 'War'}, {'id': 80, 'name': 'Crime'}]",7.2,89,PG,Norman Jewison
1985,58,Best Picture,0,The Color Purple ,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",146292009,15000000,154,7.8,594,7.296,"[{'id': 18, 'name': 'Drama'}]",7.7,81,PG-13,Steven Spielberg
1985,58,Best Picture,0,Kiss of the Spider Woman ,"David Weisman, Producer",17000000,1500000,120,7.1,78,5.536,"[{'id': 18, 'name': 'Drama'}]",7.4,82,R,Hector Babenco
1985,58,Best Picture,1,Out of Africa ,"Sydney Pollack, Producer",128499205,31000000,161,7.2,488,7.781,"[{'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",7.1,62,PG,Sydney Pollack
1985,58,Best Picture,0,Prizzi's Honor ,"John Foreman, Producer",26657534,16000000,124,6.5,126,6.596,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.7,86,R,John Huston
1985,58,Best Picture,0,Witness ,"Edward S. Feldman, Producer",68706993,12000000,113,7,609,6.769,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",7.4,94,R,Peter Weir
1986,59,Best Picture,0,Children of a Lesser God ,"Burt Sugarman and Patrick Palmer, Producers",31853080,10500000,119,7,107,5.219,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.2,80,R,Randa Haines
